,final,open,max,min,trade_amt,change,year,month,day,name
0,-2.410892558392499,-2.444227840112137,-2.3496454044492934,-2.398675623528764,2.5763090171428784,-0.9594191021111488,2020,5,1,AAPL
1,-2.3656882434047755,-2.4118003333313967,-2.408274699492545,-2.3933135434847235,0.4317216797318187,0.6121737268894607,2020,5,4,AAPL
2,-2.3169384919474276,-2.3465011073482627,-2.327604316087169,-2.302605022739708,0.7157968637064924,0.6590092747735848,2020,5,5,AAPL
3,-2.2828136659272844,-2.286532430424977,-2.302918297121589,-2.2530057823323353,0.6072152348529856,0.41442363582315894,2020,5,6,AAPL
4,-2.2486888399071403,-2.2554375609091983,-2.2817588522939496,-2.2185991020497435,0.06410675547686355,0.41442363582315894,2020,5,7,AAPL
5,-2.177780110514634,-2.22878481560996,-2.224452022552426,-2.192682381836882,0.4413377649439377,0.9712462606677458,2020,5,8,AAPL
6,-2.1237122043528482,-2.2012436454674136,-2.1508347874229297,-2.1596162215653,0.6797365441610469,0.6954369231279037,2020,5,11,AAPL
7,-2.163598364636133,-2.0933000270054984,-2.1217405507849256,-2.1185069412276576,1.0072844466988413,-0.7148334631607227,2020,5,12,AAPL
8,-2.2052572431542306,-2.1563781908803623,-2.1627369751384773,-2.2047470619359726,1.774968582799652,-0.7512611115150415,2020,5,13,AAPL
9,-2.1839846243364787,-2.2412227634162716,-2.2306235272938206,-2.223514342090114,0.9397715151054242,0.19585774569724632,2020,5,14,AAPL
10,-2.2043708840368237,-2.2874208552682846,-2.2517829721214606,-2.2382600622112245,1.0884201656760928,-0.4286162260910753,2020,5,15,AAPL
11,-2.1241553839115515,-2.145272880339013,-2.1565654703970827,-2.1252095412827083,0.4677819992772638,1.1065489545552152,2020,5,18,AAPL
12,-2.1440984640531933,-2.1243948965212764,-2.134524382034958,-2.0952712610368165,-0.20614530600538955,-0.4234122763261726,2020,5,19,AAPL
13,-2.076735171130313,-2.1061821872334634,-2.1235038378538955,-2.0595240607432146,-0.0102175698084707,0.8879830644293027,2020,5,20,AAPL
