,final,open,max,min,trade_amt,change,year,month,day,name
0,-1.452966134146883,-1.4531534396244565,-1.4737557151529521,-1.4463901621683513,-0.09189168795147634,-0.5284518608115067,2020,5,6,000001
1,-1.4768899737179373,-1.4531534396244565,-1.5117520874897448,-1.4494753546452839,-0.7202056078452764,-0.2832486640763846,2020,5,7,000001
2,-1.3991374951120101,-1.4531534396244565,-1.43575934281616,-1.424793814829822,-0.22655631203039017,0.7836003322448486,2020,5,8,000001
3,-1.384185095380101,-1.4052258534389825,-1.4036085662234892,-1.3569195803373018,-0.8107684749819045,0.12112152001311509,2020,5,11,000001
4,-1.4469851742541193,-1.3962394310292063,-1.4269909491999768,-1.412453044922091,-0.9094983341448817,-0.6790152272278098,2020,5,12,000001
5,-1.4948328533962278,-1.4561489137610486,-1.505906491745623,-1.471071701983813,-0.7608590792653257,-0.532753671280544,2020,5,13,000001
6,-1.593518691626828,-1.5160583964928909,-1.561439651314781,-1.5667126687687276,-0.2085889295724219,-1.074781790379235,2020,5,14,000001
7,-1.6144520512515008,-1.5639859826783649,-1.6082044172677563,-1.5913942085841895,-0.5496062188504258,-0.2617396117311985,2020,5,15,000001
8,-1.6234234910906467,-1.6208999912736155,-1.634509598116305,-1.5975645935380554,-0.7666667180396187,-0.13268529766008152,2020,5,18,000001
9,-1.5755758119485375,-1.5579950344051807,-1.6023588215236344,-1.5512867063840643,-0.8334545639439856,0.4867754098812797,2020,5,19,000001
10,-1.53071861275281,-1.566981456814957,-1.5526712576985984,-1.5512867063840643,-0.6692072798585179,0.4480591156599447,2020,5,20,000001
11,-1.5636138921630098,-1.5250448189026675,-1.5672852470589027,-1.5235199740916696,-0.920750634270074,-0.38219030486424094,2020,5,21,000001
12,-1.7071569295893374,-1.5819588274979177,-1.634509598116305,-1.6592684430767097,-0.3692064394239566,-1.5737918047875539,2020,5,22,000001
13,-1.6951950098038098,-1.689795896415234,-1.739730321510499,-1.7086315227076336,-1.1786460935910128,0.09961246766792896,2020,5,25,000001
14,-1.6712711702327558,-1.6748185257322736,-1.7134251406619505,-1.6530980581228445,-1.2040545132285436,0.2329685922080831,2020,5,26,000001
15,-1.6832330900182828,-1.665832103322497,-1.6783515661972193,-1.6469276731689786,-1.046522311475852,-0.16709978141237936,2020,5,27,000001
16,-1.66229973039361,-1.7197506377811556,-1.6812743640692802,-1.6932055603229696,-0.17936924698926132,0.19855410845578528,2020,5,28,000001
17,-1.6832330900182828,-1.6778139998688657,-1.7221935342781336,-1.6592684430767097,-1.0922574668234075,-0.2660414222002357,2020,5,29,000001
18,-1.5875377317340644,-1.6508547326395366,-1.619895608756,-1.609905363445786,-0.3205674646892545,1.0245017185109337,2020,6,1,000001
19,-1.5187566929672824,-1.5939407240442864,-1.549748459826537,-1.5482015139071315,-0.3196600211307713,0.7104695542712157,2020,6,2,000001
20,-1.5217471729136647,-1.4890991292635618,-1.476678513025013,-1.4803272794146112,-0.1866287954571273,-0.06385633015548582,2020,6,3,000001
21,-1.512775733074519,-1.5220493447660755,-1.546825661954476,-1.5080940117070059,-0.8648521110675059,0.06089617344659388,2020,6,4,000001
22,-1.5067947731817555,-1.5010810258099305,-1.5526712576985984,-1.5019236267531404,-1.2280110231725014,0.03078350016333326,2020,6,5,000001
23,-1.4978233333426103,-1.4771172327171935,-1.4854469066411962,-1.4556457395991493,-0.8595889384283032,0.06089617344659388,2020,6,8,000001
24,-1.4828709336107009,-1.4890991292635618,-1.5205204811059274,-1.471071701983813,-1.0623118293934606,0.12542333048215232,2020,6,9,000001
25,-1.5366995726455737,-1.4681308103074169,-1.5263660768500493,-1.5111792041839385,-0.8695708175716189,-0.6015826387851397,2020,6,10,000001
26,-1.6593092504472282,-1.566981456814957,-1.619895608756,-1.634586903261248,0.5251699318171315,-1.3414940394595434,2020,6,11,000001
27,-1.6862235699646646,-1.710764215371379,-1.7280391300222555,-1.6746944054613737,-0.05269012622500008,-0.33056857923579414,2020,6,12,000001
28,-1.7370617290531554,-1.7257415860543397,-1.7426531193825598,-1.6962907527999023,-0.7247428256376927,-0.5972808283161025,2020,6,15,000001
29,-1.7161283694284826,-1.710764215371379,-1.7368075236384382,-1.6777795979383063,-0.6198423502770294,0.2028559189248225,2020,6,16,000001
30,-1.7280902892140102,-1.713759689507971,-1.7572671087428648,-1.7086315227076336,-0.6227461696641755,-0.16709978141237936,2020,6,17,000001
31,-1.7550046087314466,-1.7527008532836688,-1.792340683207596,-1.76107979481549,0.10901631589671451,-0.33487038970483135,2020,6,18,000001
32,-1.743042688945919,-1.761687275693445,-1.7806494917193525,-1.7549094098616247,0.8709059275992482,0.09961246766792896,2020,6,19,000001
33,-1.7908903680880282,-1.758691801556853,-1.8040318746958401,-1.751824217384692,0.47090480701983334,-0.5714699655018791,2020,6,22,000001
34,-1.8028522878735556,-1.785651068786182,-1.8244914598002668,-1.7826761421540191,-0.12492263348026653,-0.17140159188141657,2020,6,23,000001
35,-1.743042688945919,-1.788646542922774,-1.7689583002311084,-1.7579946023385573,0.8413232675926947,0.6502442077046945,2020,6,24,000001
36,-1.743042688945919,-1.7047732670981948,-1.7426531193825598,-1.724057485092297,-0.03835251800096478,-0.033743656872225206,2020,6,29,000001
37,-1.743042688945919,-1.7317325343275238,-1.7689583002311084,-1.7209722926153643,-0.22093016196779403,-0.033743656872225206,2020,6,30,000001
38,-1.6473473306617012,-1.7437144308738926,-1.6900427576854629,-1.7148019076614989,1.157476603368258,1.0417089603870826,2020,7,1,000001
39,-1.5546424523238647,-1.6568456809127208,-1.5906676300353904,-1.643842480692046,2.778352287531033,0.9814836138205614,2020,7,2,000001
40,-1.3094230967205553,-1.5100674482197067,-1.3480754066543312,-1.4618161245530146,4.91592633389417,2.5946625397095233,2020,7,3,000001
41,-0.8817844643879553,-1.201533612150718,-0.9505748960540416,-1.1440412994289433,6.6277278626169664,4.285274054041154,2020,7,6,000001
42,-0.9415940633155915,-0.6923030089300569,-0.6729090982082512,-1.0082928304439032,5.271825697531299,-0.5843753969089908,2020,7,7,000001
43,-0.8578606248169007,-1.0128187415454142,-0.857045364148091,-0.9465889809052481,2.8523996819032664,0.7448840380235136,2020,7,8,000001
44,-0.9266416635836827,-0.884013353671953,-0.9564204917981634,-0.9219074410897863,2.1494939015021433,-0.661807985351661,2020,7,9,000001
